vendor,legal_name,entities,category,federal_tax_classification,tax_address_on_file,contacts,active,spend_all_time,spend_365d,ramp_vendor_uuids
Intuit,,FL|TN,Taxes and tax preparation,,,1,yes,7422.01,7422.01,7bed19c2-b5be-4d7c-8057-053e1a1020c6|d4f38e9f-3122-48fa-9aac-95fae4509df7
Hillsborough Tax Collector,,FL,Taxes and tax preparation,,,1,yes,7303.26,7303.26,b2111e7d-4138-4d0d-bb02-53e33fbe0250
Starbucks,,FL|TN|TX,Restaurants,,,0,yes,7301.71,7301.71,218b668f-f178-4a2d-921d-7ddbfe8d1ef4|5a1cabac-f122-48e0-ada8-f5ede3dee7c6|cf582fc8-5b19-4836-ab1a-16cdc908b82e
"Kalchem International, Inc.",,FL|TN,Other,,YES,2,yes,7078.87,7078.87,d2e72865-defd-40b0-a2d6-b8e3097b2ef2|edc5020b-144e-4251-aba7-26a077ae609e
Letco,,TX,Shipping,,,1,yes,7015.00,7015.00,6d7f258f-9257-4d9b-8e02-ee0a50a80bed
Labelvalue.com,,FL|TN,Office supplies and cleaning,,,1,yes,7003.20,7003.20,fab46c2b-5232-4c2c-b75e-a9cde34fa780|19df8b28-e9f5-4979-b190-a8c2db673901
Life-File,,TX,SaaS / Software,,,1,yes,6701.80,6701.80,808761a8-0047-4c5d-8c1e-a117b2d841ce
Chipotle,,FL|TN|TX,Restaurants,,,0,yes,6649.49,6649.49,a1437416-8db1-4730-84c2-2b55446f55ff|b4a006db-27f7-4e6b-9b7e-a09b27ce3f00|6a269052-d363-435d-ac78-b55583be16f0
Hilton Hotels,,FL|TN|TX,Lodging,,,0,yes,6555.77,6555.77,1b39fea7-91d2-4acc-8bb7-f09232d0a712|0f40f3ea-995d-46c4-b632-bcaea77505c4|9de050b0-639d-4f3f-9e3c-9ca0f99390c0
AX Pharmaceutical Corp - Autopay-ACH (Fl),,TX,Medical,,,1,yes,6300.00,6300.00,045d89b5-cda5-493a-a49e-8897806347be
SmartDollar,,FL,Professional Services,,,1,yes,6192.00,6192.00,bd17f61a-3cfa-405d-95b5-d3a04bb4c720
