merchant,ramp_category,coded_lines,top_gl,top_acct,agreement_pct,manual_top_gl,manual_lines
QDOBA Mexican Eats,Restaurants,18,Client Presentation,6800.10,100,(none manual),0
Adobe,Office,17,Sales & Marketing - Other,6800.30,47,Sales & Marketing - Other,8
Marriott,Lodging,17,Hotels,6830.20,76,Hotels,3
USPS,Government Services,17,Sales & Marketing - Other,6800.30,82,Sales & Marketing - Other,14
Lyft,Taxi and Rideshare,15,Car Rental/Hired Car,6830.10,100,Car Rental/Hired Car,13
Tropical Smoothie Cafe,Restaurants,15,Client Presentation,6800.10,67,Meals,4
Lowe's,General Merchandise,14,Lab Supplies,5000.25,29,Lab Supplies,4
Fairfield Inn & Suites,Lodging,14,Hotels,6830.20,100,Hotels,10
Mobil@ 2935,Fuel and Gas,14,Gas,6200.12,100,Gas,14
Allegiant,Airlines,14,Airfare/Transportation,6830.05,100,Airfare/Transportation,3
Gulf Oil,Fuel and Gas,14,Gas,6200.12,100,(none manual),0
Hospital Pharmaceutical,General Merchandise,13,Office Expense,6200.80,85,Commercial Rx Inventory,1
Integral Rx,General Merchandise,13,Office Expense,6200.80,69,Compound Ingredient Inventory,2
SpringHill Suites,Lodging,13,Hotels,6830.20,100,Hotels,7
BUC-EE'S,Fuel and Gas,13,Gas,6200.12,92,Gas,11
Kroger,Fuel and Gas,13,Gas,6200.12,62,Gas,8
Delta Air Lines,Airlines,13,Airfare/Transportation,6830.05,100,(none manual),0
Illinois Tollway,Travel Misc,13,Parking/Tolls,6200.13,100,Parking/Tolls,13
Staples,Office supplies and cleaning,12,Office Supplies,6200.85,50,Sales & Marketing - Other,4
"Stericycle, Inc. - AutoPay",Professional Services,12,Lab Services,6200.55,100,(none manual),0
Extra Space Storage,Other,12,Rent Expense,6710,100,(none manual),0
SunPass,Travel Misc,12,Parking/Tolls,6200.13,75,Parking/Tolls,9
Murphy USA,Fuel and Gas,12,Gas,6200.12,100,Gas,7
Delicass,Supermarkets and Grocery Stores,12,Meals,6800.20,100,Meals,12
Flower Child,Restaurants,12,Client Presentation,6800.10,100,(none manual),0
MAPCO,Fuel and Gas,11,Gas,6200.12,100,Gas,2
Sara Glove Company,General Merchandise,11,Office Expense,6200.80,100,(none manual),0
Office Depot,Other,11,Office Supplies,6200.85,55,Sales & Marketing - Other,5
eBay,General Merchandise,11,Suspense,8220,36,Suspense,4
Olive Garden,Restaurants,11,Client Presentation,6800.10,55,Meals,2
AutoExpreso,Travel Misc,11,Parking/Tolls,6200.13,100,Parking/Tolls,11
Crumbl Cookies,Supermarkets and Grocery Stores,10,Meals,6800.20,100,Meals,7
US Plastics,General Merchandise,10,Office Expense,6200.80,90,(none manual),0
Canva,Professional Services,10,Dues & Subscriptions,6200.45,50,Dues & Subscriptions,5
Metropolis,Parking,10,Parking/Tolls,6200.13,100,Parking/Tolls,7
Expedia,Travel Misc,10,Hotels,6830.20,40,Hotels,4
Love's Travel Stop,Fuel and Gas,10,Gas,6200.12,100,Gas,4
DropperBottles.com,General Merchandise,9,Office Expense,6200.80,89,(none manual),0
Jersey Mike's Subs,Restaurants,9,Client Presentation,6800.10,56,Meals,2
Craft Kafe,Restaurants,9,Client Presentation,6800.10,100,Client Presentation,9
Fedex,Professional Services,9,Sales & Marketing - Other,6800.30,44,Sales & Marketing - Other,4
CAVA,Restaurants,9,Client Presentation,6800.10,67,Meals,2
Advocate Sherman Hospital,Parking,9,Parking/Tolls,6200.13,100,Parking/Tolls,9
Github,SaaS / Software,9,Research & Development Costs,5000.50,100,Research & Development Costs,9
Garrett Brands,Supermarkets and Grocery Stores,9,Sales & Marketing - Other,6800.30,78,Sales & Marketing - Other,7
FREEDOMPARK,Taxi and Rideshare,8,Parking/Tolls (travel related),6830.35,63,Parking/Tolls (travel related),5
KT Advisory Services,Taxes and tax preparation,8,Consulting Fees,6600.10,100,(none manual),0
WebstaurantStore,General Merchandise,8,Suspense,8220,63,Dues & Subscriptions,3
Google Workspace,Office,8,Software Support Fees,6200.97,100,(none manual),0
Papa John's Pizza,Restaurants,8,Client Presentation,6800.10,63,Suspense,1
Marathon,Fuel and Gas,8,Gas,6200.12,100,Gas,2
Indeed,Advertising,8,Recruiting,6200.90,100,Recruiting,8
Pappadeaux Seafood Kitchen,Restaurants,8,Meals,6830.25,38,Meals,3
Whole Foods Market,Supermarkets and Grocery Stores,8,Meals,6800.20,63,Meals,5
Frontier,Airlines,8,Airfare/Transportation,6830.05,100,Airfare/Transportation,3
Hilton Garden Inn,Lodging,8,Hotels,6830.20,100,(none manual),0
oak drugs,General Merchandise,7,Office Expense,6200.80,100,(none manual),0
Thrifty,Car Rental,7,Car Rental/Hired Car,6830.10,86,Car Rental/Hired Car,1
La Segunda Central Bakery,Restaurants,7,Meals,6800.20,86,Meals,4
Lady Baker,Supermarkets and Grocery Stores,7,Meals,6800.20,71,Client Presentation,2
Paypal,General Merchandise,7,Software Support Fees,6200.97,29,Accrued Expenses,1
Citgo,Fuel and Gas,7,Gas,6200.12,100,Gas,2
Jimmy John's,Restaurants,7,Meals,6830.25,43,Meals,3
Enterprise,Car Rental,7,Car Rental/Hired Car,6830.10,86,Suspense,1
Thirsty Lion Gastropub and Grill,Restaurants,7,Meals,6830.25,86,Meals,6
Angelitos Cafe,Restaurants,7,Client Presentation,6800.10,100,Client Presentation,7
Jaxville Aviation Auth Pa,Parking,7,Parking/Tolls,6200.13,86,Parking/Tolls,1
Subway,Restaurants,7,Meals,6830.25,86,Meals,6
United,Airlines,7,Airfare/Transportation,6830.05,100,(none manual),0
City Barbeque,Restaurants,7,Client Presentation,6800.10,100,(none manual),0
Mochinut,Restaurants,7,Client Presentation,6800.10,86,Meals,1
Quality Inn,Lodging,7,Hotels,6830.20,100,(none manual),0
Conoco,Fuel and Gas,7,Gas,6200.12,100,(none manual),0
Tolls,Travel Misc,7,Parking/Tolls,6200.13,100,Parking/Tolls,7
Medical Plaza Professional Building,Parking,6,Parking/Tolls,6200.13,83,Parking/Tolls,4
Stamps.com,Shipping,6,Postage/Shipping Cost,5000.40,100,(none manual),0
Hertz,Car Rental,6,Car Rental/Hired Car,6830.10,100,Car Rental/Hired Car,4
Sunoco,Fuel and Gas,6,Gas,6200.12,100,Gas,1
Panda Express,Restaurants,6,Meals,6800.20,50,Meals,2
Wolfmoon,Restaurants,6,Meals,6800.20,67,Meals,2
Parking,Parking,6,Parking/Tolls,6200.13,100,Parking/Tolls,4
Hopdoddy Burger Bar,Restaurants,6,Meals,6830.25,50,Meals,3
LongHorn Steakhouse,Restaurants,6,Client Presentation,6800.10,50,Meals,3
Avis Rent A Car,Car Rental,6,Car Rental/Hired Car,6830.10,100,Car Rental/Hired Car,3
Cira's Cookies,Supermarkets and Grocery Stores,6,Meals,6800.20,100,Meals,6
Groome Transportation,Taxi and Rideshare,6,Car Rental/Hired Car,6830.10,100,Car Rental/Hired Car,6
